Date,Price,Open,High,Low,Vol.,Change %
10/01/2011,4920.72,4457.90,5011.00,4346.60,,9.75%
09/01/2011,4483.73,5111.10,5119.50,4428.20,,-12.17%
08/01/2011,5104.94,5255.70,5307.50,4652.29,,-1.84%
07/01/2011,5200.87,5038.80,5342.00,4983.50,,2.43%
06/01/2011,5077.25,5374.30,5401.90,4822.30,,-5.31%
05/01/2011,5361.71,5736.00,5780.10,4998.10,,-6.89%
04/01/2011,5758.37,5531.20,5788.10,5504.60,,4.41%
03/01/2011,5515.06,5291.10,5590.40,5080.50,,4.35%
02/01/2011,5285.08,5087.50,5425.10,4942.90,,3.75%
01/01/2011,5094.27,4969.10,5112.60,4757.70,,3.05%
12/01/2010,4943.41,4528.10,4958.70,4515.30,,9.40%
11/01/2010,4518.55,4495.40,4792.20,4268.00,,1.08%
10/01/2010,4470.16,4369.30,4579.10,4349.60,,2.56%
09/01/2010,4358.72,4025.10,4366.10,4018.20,,8.49%
08/01/2010,4017.69,4285.60,4426.20,3941.30,,-5.52%
07/01/2010,4252.64,3979.00,4252.64,3893.30,,5.63%
06/01/2010,4025.97,3962.50,4229.60,3849.80,,0.42%
05/01/2010,4009.25,4612.90,4667.10,3765.90,,-13.19%
04/01/2010,4618.37,4532.70,4662.40,4461.70,,2.77%
03/01/2010,4493.67,4448.00,4521.20,4332.60,,1.94%
02/01/2010,4408.36,4180.20,4468.90,4018.20,,5.56%
01/01/2010,4176.22,4611.20,4743.90,4158.70,,-7.89%
12/01/2009,4534.17,4522.40,4576.00,4199.00,,0.86%
11/01/2009,4495.31,4459.20,4617.60,4299.30,,1.52%
10/01/2009,4427.82,4163.10,4797.30,4046.30,,5.87%
09/01/2009,4182.21,4199.20,4306.80,3956.20,,0.17%
08/01/2009,4175.00,4336.50,4465.80,4095.90,,-2.36%
07/01/2009,4276.10,4299.70,4356.10,3731.90,,0.44%
06/01/2009,4257.24,4307.20,4541.60,4023.70,,0.57%
05/01/2009,4233.06,3525.00,4246.90,3515.40,,19.67%
04/01/2009,3537.42,3517.30,3792.70,3378.00,,-0.92%
03/01/2009,3570.22,3349.80,3820.80,3175.90,,4.51%
02/01/2009,3416.30,3603.10,3724.60,3104.60,,-6.10%
01/01/2009,3638.25,3873.10,4393.90,3526.30,,-8.94%
12/01/2008,3995.39,4509.60,4511.40,3523.80,,-13.32%
11/01/2008,4609.34,5391.40,5722.00,4282.40,,-14.84%
10/01/2008,5412.61,7538.30,7685.30,4977.50,,-28.20%
09/01/2008,7538.31,8074.10,9222.20,7125.90,,-12.44%
08/01/2008,8609.50,9196.10,9499.60,8373.50,,-7.10%
07/01/2008,9267.72,10646.30,10941.70,9069.50,,-12.23%
06/01/2008,10558.65,9610.20,10804.80,9403.30,,9.22%
05/01/2008,9667.63,8913.54,10176.40,8615.98,,9.10%
04/01/2008,8860.93,8117.73,9223.37,8045.43,,7.96%
03/01/2008,8207.26,8322.21,8861.23,7964.06,,-1.17%
02/01/2008,8304.77,7445.57,8385.14,7240.76,,11.26%
01/01/2008,7464.40,7515.13,7780.08,7061.40,,-0.03%
12/01/2007,7466.30,7039.31,7571.93,6907.95,,5.77%
11/01/2007,7059.31,7381.17,7614.03,7047.82,,-3.70%
10/01/2007,7330.34,6712.51,7342.61,6432.20,,9.61%
09/01/2007,6687.84,6089.91,6797.23,6040.99,,10.23%
08/01/2007,6067.40,6316.88,6355.08,5781.58,,-4.19%
07/01/2007,6332.53,6014.53,6341.02,5952.12,,5.55%
06/01/2007,5999.78,5829.35,6113.33,5794.89,,3.22%
05/01/2007,5812.55,5861.61,5969.96,5664.83,,-1.55%
04/01/2007,5904.26,5910.96,5941.95,5763.09,,-0.28%
03/01/2007,5920.55,5736.12,5920.55,5511.93,,3.23%
02/01/2007,5735.06,5439.20,5764.96,5432.66,,4.30%
01/01/2007,5498.77,5611.07,5611.07,5044.78,,-2.29%
12/01/2006,5627.64,6043.58,6043.58,5592.46,,-7.12%
11/01/2006,6058.91,5746.83,6058.91,5667.84,,5.53%
10/01/2006,5741.51,5786.70,5974.35,5642.94,,-2.57%
09/01/2006,5892.86,6503.20,6503.20,5749.31,,-10.71%
08/01/2006,6599.42,7119.29,7223.28,6575.81,,-7.26%
07/01/2006,7115.85,6989.70,7261.31,6903.47,,2.01%
06/01/2006,6975.97,6849.07,7007.92,6604.63,,1.16%
05/01/2006,6895.81,7087.18,7254.09,6746.15,,-0.77%
04/01/2006,6949.29,6577.12,7255.88,6519.90,,6.33%
03/01/2006,6535.38,6254.76,6606.30,6108.06,,5.13%
02/01/2006,6216.45,6785.48,6785.48,6051.29,,-10.10%
01/01/2006,6915.18,6729.99,6956.21,6597.79,,4.33%
12/01/2005,6627.92,6590.97,7011.47,6400.00,,2.87%
11/01/2005,6443.10,6672.66,6781.96,6315.95,,-3.85%
10/01/2005,6700.94,7433.84,7433.84,6700.94,,-10.33%
09/01/2005,7472.48,7634.13,7634.13,6918.36,,0.02%
08/01/2005,7471.14,6598.76,7509.23,6571.64,,15.14%
07/01/2005,6488.55,6328.25,6615.46,6184.79,,5.50%
06/01/2005,6150.56,6044.82,6457.25,5974.41,,5.80%
05/01/2005,5813.64,5915.22,5944.03,5581.71,,-0.73%
04/01/2005,5856.56,6573.73,6573.73,5856.56,,-9.05%
03/01/2005,6439.38,5974.31,6460.28,5974.31,,7.56%
02/01/2005,5986.82,5557.08,5986.82,5354.46,,6.23%
01/01/2005,5635.92,5173.25,5747.46,5173.25,,6.76%
12/01/2004,5278.98,5592.74,5648.81,5164.70,,-9.99%
11/01/2004,5864.79,6019.88,6077.73,5654.95,,-4.84%
10/01/2004,6162.91,5945.20,6473.32,5909.24,,4.15%
09/01/2004,5917.43,5400.46,5917.43,5252.34,,12.61%
08/01/2004,5254.62,5440.56,5722.21,5254.62,,-3.88%
07/01/2004,5466.90,5213.59,5466.90,5195.39,,7.75%
06/01/2004,5073.56,5575.02,5575.02,4966.77,,-4.70%
05/01/2004,5323.78,5184.13,5490.40,5184.13,,4.63%
04/01/2004,5088.35,4858.13,5096.45,4828.79,,2.76%
03/01/2004,4951.78,4929.98,5032.86,4766.08,,2.01%
02/01/2004,4854.23,4631.38,4854.23,4461.23,,7.42%
01/01/2004,4518.91,4520.70,4786.45,4511.56,,0.39%
12/01/2003,4501.27,4256.77,4692.34,4256.77,,6.24%
11/01/2003,4236.69,4081.73,4415.05,4070.30,,2.56%
