Date,Price,Open,High,Low,Vol.,Change %
08/01/2008,80.01,80.55,81.50,76.14,543.05M,-0.52%
07/01/2008,80.43,87.87,89.63,79.10,685.48M,-8.74%
06/01/2008,88.13,88.09,90.50,84.77,565.77M,-0.71%
05/01/2008,88.76,90.10,96.12,87.60,575.87M,-4.63%
04/01/2008,93.07,84.80,94.93,84.26,483.10M,10.04%
03/01/2008,84.58,86.83,88.50,81.97,608.77M,-2.79%
02/01/2008,87.01,87.70,90.17,80.36,491.08M,0.71%
01/01/2008,86.40,94.15,94.74,77.55,615.63M,-7.78%
12/01/2007,93.69,88.97,95.10,87.71,386.70M,5.08%
11/01/2007,89.16,89.83,90.95,83.37,548.10M,-3.08%
10/01/2007,91.99,92.45,95.27,89.67,513.52M,-0.62%
09/01/2007,92.56,85.31,93.66,83.88,446.29M,7.97%
08/01/2007,85.73,84.99,87.90,78.76,687.60M,0.70%
07/01/2007,85.13,84.50,93.62,84.12,559.91M,1.49%
06/01/2007,83.88,83.56,86.58,80.85,507.27M,0.85%
05/01/2007,83.17,79.50,84.32,79.05,446.63M,4.77%
04/01/2007,79.38,75.35,80.88,75.28,452.72M,5.21%
03/01/2007,75.45,70.90,76.35,69.02,612.45M,5.26%
02/01/2007,71.68,74.58,76.10,71.18,401.91M,-3.27%
01/01/2007,74.10,76.26,76.27,70.64,504.88M,-3.30%
12/01/2006,76.63,76.78,79.00,74.82,386.64M,-0.23%
11/01/2006,76.81,71.58,77.37,70.27,407.58M,7.55%
10/01/2006,71.42,67.29,72.33,64.84,457.29M,6.44%
09/01/2006,67.10,67.85,68.65,63.87,474.61M,-0.84%
08/01/2006,67.67,67.24,71.22,67.01,507.53M,-0.10%
07/01/2006,67.74,61.80,67.94,61.63,420.06M,10.42%
06/01/2006,61.35,60.40,62.65,56.64,504.02M,0.72%
05/01/2006,60.91,63.40,64.77,59.15,434.87M,-3.44%
04/01/2006,63.08,61.36,65.00,60.43,337.29M,3.65%
03/01/2006,60.86,59.59,61.92,58.44,423.54M,2.51%
02/01/2006,59.37,62.77,63.08,58.60,366.30M,-5.39%
01/01/2006,62.75,56.42,63.96,56.42,409.37M,11.71%
12/01/2005,56.17,58.37,60.38,55.60,332.47M,-3.21%
11/01/2005,58.03,56.09,60.26,55.84,392.47M,3.37%
10/01/2005,56.14,63.55,63.89,54.50,520.40M,-11.65%
09/01/2005,63.54,60.10,65.96,60.10,431.36M,6.08%
08/01/2005,59.90,59.23,61.34,57.76,395.28M,1.96%
07/01/2005,58.75,57.75,60.73,57.60,331.42M,2.23%
06/01/2005,57.47,56.33,61.13,56.33,361.38M,2.26%
05/01/2005,56.20,57.00,58.65,52.78,402.00M,-1.46%
04/01/2005,57.03,60.20,61.74,55.40,422.87M,-4.31%
03/01/2005,59.60,62.97,64.37,57.38,553.09M,-5.86%
02/01/2005,63.31,51.98,64.04,51.93,369.46M,22.69%
01/01/2005,51.60,51.02,51.97,49.25,243.20M,0.66%
12/01/2004,51.26,51.26,52.05,48.90,281.52M,0.02%
11/01/2004,51.25,49.40,52.00,48.25,244.71M,4.12%
10/01/2004,49.22,48.45,50.46,48.18,247.84M,1.84%
09/01/2004,48.33,46.20,49.79,46.03,263.25M,4.84%
08/01/2004,46.10,46.29,46.94,44.20,247.63M,-0.43%
07/01/2004,46.30,44.53,46.82,44.20,217.95M,4.26%
06/01/2004,44.41,43.50,45.53,43.10,251.31M,2.68%
05/01/2004,43.25,42.90,44.24,41.59,237.74M,1.65%
04/01/2004,42.55,41.90,43.97,41.43,225.22M,2.31%
03/01/2004,41.59,42.58,43.40,39.91,285.68M,-1.38%
