Date,Price,Open,High,Low,Vol.,Change %
12/01/2018,795.9,790.7,800.3,787.8,4.20K,-0.26%
11/01/2018,798,872.1,872.1,798.8,0.01K,-4.93%
10/01/2018,839.4,812,845.3,809.5,0.31K,2.53%
09/01/2018,818.7,781,831.9,781,8.29K,4.17%
08/01/2018,785.9,777.5,792.2,773.4,0.01K,-6.54%
07/01/2018,840.9,838.9,854.4,796.9,0.38K,-1.35%
06/01/2018,852.4,858.8,858.8,844.1,6.10K,-6.13%
05/01/2018,908.1,922.4,922.4,902.7,0.02K,1.01%
04/01/2018,899,934.3,947.8,898.2,0.19K,-3.05%
03/01/2018,927.3,944.9,947.7,928,6.77K,-6.01%
02/01/2018,986.6,991.7,998,979.8,0.10K,-1.47%
01/01/2018,"1,001.30",937.9,"1,022.60",937.9,0.60K,7.18%
12/01/2017,934.2,926.2,935.2,915.4,3.45K,-0.75%
11/01/2017,941.3,931.7,933.8,926.4,0.03K,2.78%
10/01/2017,915.8,910,940,905.2,0.48K,0.60%
09/01/2017,910.3,986,991.2,910.8,5.32K,-8.68%
08/01/2017,996.8,962.6,965.3,962.6,0.01K,6.30%
07/01/2017,937.7,929.3,929.3,890.3,0.38K,1.52%
06/01/2017,923.7,925,954.6,909.6,6.91K,-2.61%
05/01/2017,948.5,918,961.3,902,0.02K,0.23%
04/01/2017,946.3,953.1,983.1,939.3,0.29K,-0.20%
03/01/2017,948.2,"1,027.40","1,027.40",940,3.80K,-7.90%
02/01/2017,"1,029.50","1,002.00","1,043.70","1,000.00",0.04K,3.68%
01/01/2017,993,911.4,998.5,908.3,1.17K,10.14%
12/01/2016,901.6,917.5,917.5,896,5.66K,-0.72%
11/01/2016,908.1,998.3,"1,003.50",918.3,0.10K,-6.94%
10/01/2016,975.8,"1,024.50","1,024.50",926,0.87K,-5.13%
09/01/2016,"1,028.60","1,069.90","1,100.20","1,020.00",4.32K,-2.11%
08/01/2016,"1,050.80","1,159.60","1,179.80","1,056.10",0.03K,-8.41%
07/01/2016,"1,147.30","1,025.90","1,150.60","1,024.80",0.56K,12.32%
06/01/2016,"1,021.50",983.2,"1,027.10",967.2,6.95K,4.37%
05/01/2016,978.7,"1,084.50","1,086.80",973.2,0.09K,-9.20%
04/01/2016,"1,077.90",977.3,"1,077.60",941.7,0.79K,10.37%
03/01/2016,976.6,940.1,982,931.7,4.02K,4.59%
02/01/2016,933.7,929.2,954,929.2,0.05K,7.04%
01/01/2016,872.3,890.6,897,812.2,1.02K,-2.18%
12/01/2015,891.7,835.5,893.5,835.5,3.27K,7.14%
11/01/2015,832.3,850.6,853.2,830.5,0.09K,-15.81%
10/01/2015,988.6,910.5,"1,021.90",897.1,0.96K,8.97%
09/01/2015,907.2,"1,014.00","1,014.00",899.5,6.62K,-10.19%
08/01/2015,"1,010.10",980,"1,010.80",973.4,0.02K,2.65%
07/01/2015,984,"1,085.20","1,089.00",970,0.64K,-8.77%
06/01/2015,"1,078.60","1,109.20","1,111.80","1,068.10",5.63K,-2.92%
05/01/2015,"1,111.00","1,138.90","1,155.70","1,113.90",0.03K,-2.54%
04/01/2015,"1,139.90","1,141.00","1,187.10","1,123.00",0.37K,-0.24%
03/01/2015,"1,142.60","1,153.80","1,184.80","1,091.00",4.83K,-3.72%
02/01/2015,"1,186.70","1,232.00","1,242.10","1,159.80",0.09K,-4.24%
01/01/2015,"1,239.20","1,209.90","1,288.90","1,187.70",0.97K,2.51%
12/01/2014,"1,208.90","1,222.10","1,235.40","1,183.40",2.10K,-0.12%
11/01/2014,"1,210.40","1,210.50","1,210.50","1,205.00",0.04K,-2.09%
10/01/2014,"1,236.20","1,293.60","1,304.10","1,191.00",1.83K,-4.80%
09/01/2014,"1,298.50","1,421.40","1,421.40","1,297.10",8.08K,-8.99%
08/01/2014,"1,426.70","1,472.70","1,472.70","1,440.00",0.04K,-2.66%
07/01/2014,"1,465.70","1,495.00","1,514.30","1,470.00",0.46K,-1.03%
06/01/2014,"1,481.00","1,451.70","1,490.00","1,451.60",4.28K,1.81%
05/01/2014,"1,454.70","1,479.10","1,483.00","1,446.00",0.14K,1.97%
04/01/2014,"1,426.60","1,418.50","1,468.30","1,400.00",0.66K,0.57%
03/01/2014,"1,418.50","1,436.80","1,441.00","1,399.20",5.21K,-1.92%
02/01/2014,"1,446.20","1,446.20","1,446.20","1,446.20",,5.25%
01/01/2014,"1,374.10","1,376.10","1,464.00","1,376.10",0.46K,0.22%
12/01/2013,"1,371.10","1,377.00","1,377.30","1,349.00",2.90K,0.23%
11/01/2013,"1,367.90","1,367.90","1,367.90","1,367.90",0.00K,-5.39%
10/01/2013,"1,445.90","1,395.00","1,465.30","1,366.00",1.17K,2.68%
09/01/2013,"1,408.10","1,477.90","1,482.10","1,396.80",7.45K,-7.74%
08/01/2013,"1,526.20","1,526.20","1,523.10","1,526.20",,6.85%
07/01/2013,"1,428.40","1,338.60","1,462.00","1,324.40",0.72K,6.84%
06/01/2013,"1,336.90","1,493.00","1,511.70","1,295.40",5.41K,-8.47%
05/01/2013,"1,460.60","1,460.60","1,460.60","1,460.60",0.00K,-2.98%
04/01/2013,"1,505.40","1,571.20","1,601.30","1,411.60",0.56K,-4.19%
03/01/2013,"1,571.20","1,571.00","1,586.90","1,559.30",5.43K,-0.71%
02/01/2013,"1,582.40","1,665.30","1,730.00","1,603.40",0.01K,-5.47%
01/01/2013,"1,673.90","1,539.50","1,695.70","1,536.60",2.15K,8.79%
12/01/2012,"1,538.70","1,613.90","1,613.90","1,515.30",4.16K,-4.02%
11/01/2012,"1,603.10","1,537.70","1,660.00","1,522.50",0.07K,1.72%
10/01/2012,"1,576.00","1,661.00","1,731.20","1,537.90",0.49K,-5.36%
09/01/2012,"1,665.30","1,625.00","1,673.20","1,620.20",7.11K,8.40%
08/01/2012,"1,536.30","1,530.70","1,560.70","1,460.50",0.02K,8.54%
07/01/2012,"1,415.40","1,436.00","1,488.40","1,394.70",0.12K,-2.33%
06/01/2012,"1,449.10","1,408.70","1,449.50","1,382.00",5.58K,2.33%
05/01/2012,"1,416.10","1,416.10","1,416.10","1,416.10",0.00K,-9.67%
04/01/2012,"1,567.70","1,641.50","1,663.00","1,552.70",0.48K,-4.31%
03/01/2012,"1,638.30","1,635.70","1,645.00","1,620.30",4.05K,-3.12%
02/01/2012,"1,691.10","1,691.10","1,691.10","1,691.10",,6.66%
01/01/2012,"1,585.50","1,408.10","1,610.20","1,388.70",0.60K,13.27%
12/01/2011,"1,399.70","1,523.00","1,523.00","1,347.00",4.47K,-10.26%
11/01/2011,"1,559.80","1,559.80","1,615.00","1,559.80",0.05K,-2.37%
10/01/2011,"1,597.60","1,518.30","1,616.40","1,440.00",0.41K,5.15%
09/01/2011,"1,519.40","1,529.50","1,554.10","1,500.10",5.12K,-18.14%
08/01/2011,"1,856.20","1,702.00","1,702.00","1,702.00",0.00K,3.97%
07/01/2011,"1,785.30","1,712.70","1,810.40","1,705.00",0.24K,3.51%
06/01/2011,"1,724.80","1,825.70","1,825.70","1,694.50",3.67K,-5.95%
05/01/2011,"1,834.00","1,768.10","1,798.20","1,768.10",0.00K,-2.00%
04/01/2011,"1,871.50","1,774.70","1,847.00","1,755.00",0.13K,5.18%
03/01/2011,"1,779.30","1,742.80","1,784.90","1,723.20",3.88K,-1.65%
02/01/2011,"1,809.20","1,787.00","1,787.00","1,787.00",0.00K,0.65%
01/01/2011,"1,797.50","1,767.80","1,845.80","1,715.00",0.53K,1.36%
12/01/2010,"1,773.30","1,761.00","1,774.00","1,723.20",1.54K,7.45%
11/01/2010,"1,650.40","1,725.00","1,725.00","1,620.00",0.00K,-3.21%
10/01/2010,"1,705.10","1,658.60","1,714.90","1,658.60",0.26K,3.21%
09/01/2010,"1,652.00","1,636.00","1,659.90","1,635.00",2.92K,8.43%
08/01/2010,"1,523.50","1,592.80","1,592.80","1,568.70",0.00K,-3.38%
07/01/2010,"1,576.80","1,516.00","1,574.80","1,493.30",0.40K,3.00%
06/01/2010,"1,530.90","1,540.90","1,618.10","1,500.00",2.54K,-1.07%
05/01/2010,"1,547.40","1,528.00","1,546.00","1,528.00",0.01K,-11.33%
04/01/2010,"1,745.10","1,649.10","1,755.00","1,648.50",0.56K,6.42%
03/01/2010,"1,639.80","1,592.00","1,646.60","1,592.00",2.75K,6.62%
02/01/2010,"1,538.00","1,512.80","1,512.80","1,511.70",0.09K,2.44%
01/01/2010,"1,501.30","1,477.20","1,635.50","1,477.20",0.60K,2.83%
12/01/2009,"1,460.00","1,462.10","1,470.60","1,441.70",1.50K,0.03%
11/01/2009,"1,459.50","1,459.50","1,459.50","1,459.50",,12.49%
10/01/2009,"1,297.40","1,298.50","1,368.40","1,270.30",0.41K,0.14%
09/01/2009,"1,295.60","1,278.40","1,301.10","1,265.50",3.30K,10.96%
07/01/2009,"1,167.60","1,173.10","1,218.10","1,090.00",0.22K,-0.77%
06/01/2009,"1,176.70","1,199.80","1,200.00","1,165.50",1.39K,-1.12%
04/01/2009,"1,190.00","1,129.40","1,242.30","1,078.10",0.26K,6.17%
03/01/2009,"1,120.80","1,137.00","1,139.00","1,112.60",2.54K,16.75%
01/01/2009,960,932.4,998.5,914,0.29K,2.54%
12/01/2008,936.2,916.7,943.3,897.6,1.21K,15.42%
10/01/2008,811.1,"1,003.00","1,045.00",761.8,0.29K,-20.10%
09/01/2008,"1,015.10","1,125.00","1,135.00",995.2,1.64K,-42.00%
07/01/2008,"1,750.30","2,084.10","2,089.60","1,759.00",0.27K,-15.42%
06/01/2008,"2,069.50","2,064.40","2,086.60","2,049.00",1.30K,5.02%
04/01/2008,"1,970.60","1,948.00","2,055.00","1,880.00",0.68K,-2.66%
03/01/2008,"2,024.40","2,026.50","2,046.00","1,977.80",1.39K,-6.09%
02/01/2008,"2,155.70","2,115.00","2,115.00","2,115.00",0.00K,24.11%
01/01/2008,"1,736.90","1,529.90","1,746.10","1,523.60",0.74K,13.64%
12/01/2007,"1,528.40","1,525.40","1,539.00","1,513.00",2.13K,4.11%
10/01/2007,"1,468.00","1,407.50","1,473.30","1,355.00",0.45K,5.22%
09/01/2007,"1,395.20","1,346.40","1,395.50","1,344.50",2.85K,9.72%
08/01/2007,"1,271.60","1,271.60","1,271.60","1,271.60",,-2.23%
07/01/2007,"1,300.60","1,282.90","1,350.00","1,277.50",0.62K,1.69%
06/01/2007,"1,279.00","1,273.50","1,285.00","1,273.50",1.70K,-1.89%
04/01/2007,"1,303.60","1,242.00","1,348.00","1,240.00",0.33K,4.43%
03/01/2007,"1,248.30","1,241.00","1,252.20","1,234.00",1.64K,9.57%
02/01/2007,"1,139.30","1,139.30","1,139.30","1,139.30",,-3.51%
01/01/2007,"1,180.70","1,147.00","1,185.00","1,119.00",0.25K,3.63%
12/01/2006,"1,139.30","1,186.50","1,186.50","1,096.00",21.69K,-3.18%
11/01/2006,"1,176.70","1,085.20","1,189.00","1,085.00",10.06K,8.30%
10/01/2006,"1,086.50","1,159.50","1,159.50","1,070.00",2.61K,-4.79%
09/01/2006,"1,141.20","1,253.00","1,287.90","1,124.00",30.00K,-8.79%
08/01/2006,"1,251.20","1,241.60","1,268.00","1,216.00",18.19K,0.77%
07/01/2006,"1,241.60","1,245.00","1,275.00","1,203.00",1.20K,-0.41%
06/01/2006,"1,246.70","1,252.00","1,263.50","1,095.00",32.91K,-0.01%
05/01/2006,"1,246.80","1,304.00","1,347.00","1,235.20",15.22K,9.18%
04/01/2006,"1,142.00","1,070.80","1,145.00","1,065.00",0.25K,7.80%
03/01/2006,"1,059.40","1,076.90","1,095.00","1,050.00",1.14K,2.41%
02/01/2006,"1,034.50","1,085.00","1,094.00",990.2,20.60K,-4.68%
01/01/2006,"1,085.30",972,"1,089.90",972,3.61K,11.54%
