Date,Price,Open,High,Low,Vol.,Change %
02/01/2016,452.88,476.25,483.00,446.62,,-5.53%
01/01/2016,479.38,472.50,488.50,456.13,,2.13%
12/01/2015,469.38,474.63,498.88,465.63,,-1.31%
11/01/2015,475.63,521.38,530.75,475.13,,-8.91%
10/01/2015,522.13,512.38,531.50,483.63,,1.93%
09/01/2015,512.25,484.13,515.50,463.13,,5.54%
08/01/2015,485.38,497.13,529.88,476.13,,-2.56%
07/01/2015,498.13,614.25,615.00,493.88,,-19.22%
06/01/2015,616.63,478.00,617.13,474.13,,29.03%
05/01/2015,477.88,476.13,529.88,461.13,,0.53%
04/01/2015,475.38,513.38,544.13,464.13,,-7.31%
03/01/2015,512.88,513.75,540.38,479.38,,0.17%
02/01/2015,512.00,502.25,546.63,490.13,,1.74%
01/01/2015,503.25,589.38,603.50,497.38,,-14.69%
12/01/2014,589.88,576.88,676.88,570.38,,1.99%
11/01/2014,578.38,535.63,580.63,511.38,,8.87%
10/01/2014,531.25,477.63,545.25,469.63,,11.00%
09/01/2014,478.63,561.88,565.88,466.38,,-15.04%
08/01/2014,563.38,531.25,578.63,527.38,,6.22%
07/01/2014,530.38,578.63,584.25,518.63,,-8.04%
06/01/2014,576.75,625.75,626.13,568.75,,-8.18%
05/01/2014,628.13,723.25,743.88,625.63,,-12.94%
04/01/2014,721.50,695.88,724.63,656.38,,3.50%
03/01/2014,697.13,623.63,722.88,615.00,,16.11%
02/01/2014,600.38,554.88,620.75,554.13,,8.18%
01/01/2014,555.00,605.13,612.38,550.38,,-8.28%
12/01/2013,605.13,668.88,674.63,599.38,,-9.45%
11/01/2013,668.25,667.75,672.13,642.38,,0.13%
10/01/2013,667.38,678.13,711.13,667.13,,-1.73%
09/01/2013,679.13,663.00,694.00,637.13,,3.70%
08/01/2013,654.88,663.38,676.38,623.13,,-1.32%
07/01/2013,663.63,655.50,692.88,648.13,,1.03%
06/01/2013,656.88,707.75,714.38,656.13,,-7.04%
05/01/2013,706.63,731.50,734.88,674.13,,-3.24%
04/01/2013,730.25,684.88,736.63,660.25,,6.68%
03/01/2013,684.50,716.50,741.38,681.25,,-4.45%
02/01/2013,716.38,781.50,789.88,698.13,,-8.35%
01/01/2013,781.63,786.88,799.63,736.38,,0.40%
12/01/2012,778.50,863.50,877.13,764.63,,-9.84%
11/01/2012,863.50,867.38,911.63,829.63,,-0.39%
10/01/2012,866.88,895.50,901.00,841.63,,-3.21%
09/01/2012,895.63,892.00,930.63,849.38,,0.79%
08/01/2012,888.63,893.25,930.88,838.75,,-0.45%
07/01/2012,892.63,758.88,944.50,756.38,,17.62%
06/01/2012,758.88,646.88,763.38,641.00,,17.54%
05/01/2012,645.63,652.50,721.38,592.38,,-1.07%
04/01/2012,652.63,662.88,665.63,604.25,,-0.95%
03/01/2012,658.88,666.63,677.50,611.50,,-1.35%
02/01/2012,667.88,666.75,683.25,621.13,,0.19%
01/01/2012,666.63,653.13,670.50,590.13,,2.07%
12/01/2011,653.13,615.00,655.75,577.25,,6.22%
11/01/2011,614.88,629.63,659.13,572.50,,-2.28%
10/01/2011,629.25,609.13,665.13,596.88,,3.84%
09/01/2011,606.00,787.88,789.13,605.38,,-23.11%
08/01/2011,788.13,674.50,805.63,642.50,,16.78%
07/01/2011,674.88,600.50,727.50,592.88,,12.41%
06/01/2011,600.38,787.13,787.63,596.00,,-23.73%
05/01/2011,787.13,801.38,834.38,723.25,,-2.11%
04/01/2011,804.13,759.75,864.75,730.25,,5.93%
03/01/2011,759.13,819.25,836.88,656.50,,-7.01%
02/01/2011,816.38,843.50,892.38,757.63,,-2.65%
01/01/2011,838.63,793.13,863.38,758.63,,5.80%
12/01/2010,792.63,692.63,808.25,691.13,,14.94%
11/01/2010,689.63,727.13,760.38,619.38,,-5.19%
10/01/2010,727.38,674.88,738.00,643.75,,7.58%
09/01/2010,676.13,689.38,756.75,651.13,,-1.92%
08/01/2010,689.38,660.75,840.88,645.00,,4.23%
07/01/2010,661.38,479.38,662.63,475.38,,38.00%
06/01/2010,479.25,458.25,486.63,425.63,,4.55%
05/01/2010,458.38,502.00,516.88,456.38,,-9.26%
04/01/2010,505.13,450.88,514.63,447.13,,12.16%
03/01/2010,450.38,519.63,519.63,450.38,,-13.24%
02/01/2010,519.13,475.00,519.88,466.63,,9.72%
01/01/2010,473.13,540.75,574.50,473.13,,-12.57%
12/01/2009,541.13,586.50,597.88,514.38,,-7.74%
11/01/2009,586.50,493.63,600.38,493.63,,18.66%
10/01/2009,494.25,452.00,496.50,439.25,295.08K,8.03%
09/01/2009,457.50,471.00,481.50,425.25,459.88K,-2.87%
08/01/2009,471.00,531.75,557.50,453.25,752.51K,-10.84%
07/01/2009,528.25,517.00,553.75,483.50,470.29K,3.33%
06/01/2009,511.25,636.75,677.00,495.75,1.12M,-19.77%
05/01/2009,637.25,524.75,646.25,524.50,438.46K,21.55%
04/01/2009,524.25,527.75,572.75,500.75,749.31K,-1.60%
03/01/2009,532.75,508.00,563.00,488.25,448.18K,4.36%
02/01/2009,510.50,568.00,577.00,504.50,706.28K,-10.12%
01/01/2009,568.00,606.25,646.25,548.25,656.02K,-7.00%
12/01/2008,610.75,541.75,616.00,455.00,326.22K,12.58%
11/01/2008,542.50,538.75,587.75,496.00,827.28K,1.17%
10/01/2008,536.25,683.25,690.25,496.50,807.11K,-21.14%
09/01/2008,680.00,770.00,770.00,662.50,531.82K,-12.74%
08/01/2008,779.25,784.50,932.25,746.00,864.44K,-0.57%
07/01/2008,783.75,843.00,877.50,775.00,476.86K,-7.08%
06/01/2008,843.50,759.50,952.75,745.75,1.08M,10.77%
05/01/2008,761.50,792.25,825.00,0.00,382.39K,-3.27%
04/01/2008,787.25,929.00,985.50,784.25,619.06K,-15.26%
03/01/2008,929.00,1078.00,1298.00,929.00,714.98K,-13.42%
02/01/2008,1073.00,934.00,1334.50,933.00,1.00M,15.44%
01/01/2008,929.50,892.50,993.00,878.50,875.32K,5.03%
12/01/2007,885.00,865.75,1009.50,845.25,359.25K,2.08%
11/01/2007,867.00,811.00,892.00,740.75,835.35K,7.30%
10/01/2007,808.00,953.25,959.00,790.25,1.05M,-13.95%
09/01/2007,939.00,784.00,961.75,783.25,508.66K,22.43%
08/01/2007,767.00,630.25,795.00,620.00,768.43K,21.75%
07/01/2007,630.00,583.25,664.00,562.50,563.75K,8.25%
06/01/2007,582.00,517.50,633.75,514.50,952.30K,12.57%
05/01/2007,517.00,480.50,524.00,468.00,427.45K,6.49%
04/01/2007,485.50,433.75,519.75,412.00,671.76K,10.84%
03/01/2007,438.00,474.25,474.25,431.00,378.94K,-7.69%
02/01/2007,474.50,467.50,494.00,447.75,567.82K,1.50%
01/01/2007,467.50,498.00,499.25,447.50,792.20K,-6.69%
12/01/2006,501.00,507.00,521.50,463.50,237.85K,-0.20%
11/01/2006,502.00,485.75,519.00,465.00,627.28K,3.93%
10/01/2006,483.00,445.00,557.00,435.25,974.76K,9.03%
09/01/2006,443.00,401.50,453.00,376.00,534.84K,9.65%
08/01/2006,404.00,396.75,405.50,357.25,504.14K,1.64%
07/01/2006,397.50,371.50,414.00,363.00,332.00K,7.00%
06/01/2006,371.50,394.25,407.00,358.00,674.10K,-5.59%
05/01/2006,393.50,349.00,433.00,349.00,577.25K,13.65%
04/01/2006,346.25,344.50,369.50,339.50,447.72K,-0.43%
03/01/2006,347.75,367.50,380.00,338.50,331.94K,-6.08%
02/01/2006,370.25,343.00,378.00,337.50,571.37K,7.87%
01/01/2006,343.25,340.00,350.00,321.50,570.96K,1.18%
12/01/2005,339.25,303.75,347.00,292.50,268.49K,11.60%
11/01/2005,304.00,317.50,320.50,295.00,527.82K,-4.10%
10/01/2005,317.00,346.25,352.00,315.50,484.18K,-8.45%
09/01/2005,346.25,303.00,353.00,301.75,308.30K,14.84%
08/01/2005,301.50,328.00,335.50,300.75,368.20K,-8.01%
07/01/2005,327.75,324.00,354.00,320.00,246.43K,1.94%
06/01/2005,321.50,330.50,345.50,309.50,455.75K,-3.09%
05/01/2005,331.75,315.00,342.75,296.50,323.02K,4.32%
04/01/2005,318.00,331.50,332.50,301.50,380.20K,-3.93%
03/01/2005,331.00,333.00,370.00,323.00,298.89K,-1.85%
02/01/2005,337.25,291.25,337.50,287.00,407.40K,15.89%
01/01/2005,291.00,307.50,312.00,287.50,440.98K,-5.37%
12/01/2004,307.50,289.50,311.75,282.50,149.38K,6.13%
11/01/2004,289.75,316.50,320.50,286.00,436.76K,-8.45%
10/01/2004,316.50,307.50,326.00,297.00,363.57K,3.18%
09/01/2004,306.75,310.25,341.50,302.50,237.09K,-0.97%
08/01/2004,309.75,310.75,324.00,295.50,224.38K,-0.80%
07/01/2004,312.25,335.25,348.00,310.00,171.53K,-7.62%
06/01/2004,338.00,365.00,391.00,0.00,321.33K,-6.63%
05/01/2004,362.00,380.50,407.00,354.00,199.49K,-5.11%
04/01/2004,381.50,408.25,424.00,366.00,278.18K,-6.50%
03/01/2004,408.00,385.00,422.75,354.00,309.44K,7.16%
