Date,Price,Open,High,Low,Vol.,Change %
05/01/2019,102.91,106.15,108.68,102.40,139.58M,-3.35%
04/01/2019,106.48,104.23,107.20,102.13,148.29M,2.34%
03/01/2019,104.05,98.61,104.15,97.75,180.28M,5.58%
02/01/2019,98.55,96.35,100.45,95.99,176.17M,2.16%
01/01/2019,96.47,91.03,96.81,89.08,225.46M,4.95%
12/01/2018,91.92,94.67,96.89,86.74,224.36M,-2.74%
11/01/2018,94.51,88.81,94.81,88.18,214.20M,6.57%
10/01/2018,88.68,83.31,90.70,78.49,273.77M,6.55%
09/01/2018,83.23,82.48,86.28,81.25,137.12M,0.34%
08/01/2018,82.95,80.42,84.20,80.11,147.70M,2.56%
07/01/2018,80.88,77.50,80.98,77.42,167.36M,3.61%
06/01/2018,78.06,73.33,78.71,72.86,191.80M,6.68%
05/01/2018,73.17,72.05,75.01,70.73,184.83M,1.15%
04/01/2018,72.34,79.26,79.52,71.95,215.31M,-8.75%
03/01/2018,79.28,78.40,80.75,75.81,211.19M,0.97%
02/01/2018,78.52,86.15,86.50,78.50,224.92M,-9.06%
01/01/2018,86.34,91.92,91.93,86.07,190.68M,-6.03%
12/01/2017,91.88,90.18,93.14,89.12,130.70M,2.10%
11/01/2017,89.99,86.33,90.37,85.42,123.55M,4.23%
10/01/2017,86.34,91.26,93.51,85.72,179.37M,-5.10%
09/01/2017,90.98,92.42,94.67,90.34,138.82M,-1.40%
08/01/2017,92.27,91.03,92.96,90.52,131.33M,1.60%
07/01/2017,90.82,87.40,91.07,86.31,122.11M,4.21%
06/01/2017,87.15,88.02,90.21,86.93,143.60M,-1.07%
05/01/2017,88.09,87.38,88.35,85.52,138.20M,0.87%
04/01/2017,87.33,89.86,91.13,87.15,136.58M,-2.80%
03/01/2017,89.85,91.05,92.00,89.59,199.19M,-1.34%
02/01/2017,91.07,87.03,91.80,86.75,196.20M,3.96%
01/01/2017,87.60,83.88,87.97,83.24,193.16M,4.19%
12/01/2016,84.08,82.21,85.74,81.18,174.31M,1.96%
11/01/2016,82.46,86.58,87.69,81.71,205.50M,-5.00%
10/01/2016,86.80,89.35,90.33,84.06,376.45M,-3.29%
09/01/2016,89.75,87.36,90.22,85.96,846.41M,2.79%
08/01/2016,87.31,85.44,88.50,85.13,185.98M,2.01%
07/01/2016,85.59,84.52,86.89,84.32,145.18M,1.09%
06/01/2016,84.67,80.95,84.80,80.86,160.72M,4.48%
05/01/2016,81.04,80.02,82.89,79.41,137.38M,1.15%
04/01/2016,80.12,82.00,83.84,79.10,161.69M,-2.66%
03/01/2016,82.31,80.54,83.87,80.48,215.18M,2.52%
02/01/2016,80.29,81.21,83.00,79.63,192.56M,-1.71%
01/01/2016,81.69,78.36,82.00,74.46,229.30M,2.87%
12/01/2015,79.41,74.87,81.23,74.87,207.51M,6.11%
11/01/2015,74.84,76.57,77.42,73.95,146.64M,-2.02%
10/01/2015,76.38,71.76,78.45,71.29,202.32M,6.17%
09/01/2015,71.94,69.37,73.38,67.33,229.18M,1.80%
08/01/2015,70.67,76.51,77.09,65.02,239.92M,-7.86%
07/01/2015,76.70,78.39,82.55,76.66,180.18M,-1.97%
06/01/2015,78.24,78.65,81.22,77.10,188.53M,-0.19%
05/01/2015,78.39,79.76,81.21,78.19,136.58M,-1.41%
04/01/2015,79.51,82.44,84.20,79.07,169.78M,-2.97%
03/01/2015,81.94,85.02,85.44,80.81,201.72M,-3.75%
02/01/2015,85.13,84.58,86.78,83.68,151.94M,1.00%
01/01/2015,84.29,90.84,91.79,84.25,170.72M,-7.47%
12/01/2014,91.09,90.17,93.89,88.38,142.09M,0.73%
11/01/2014,90.43,86.66,90.56,86.20,136.84M,3.62%
10/01/2014,87.27,84.02,87.36,81.57,221.94M,4.22%
09/01/2014,83.74,83.21,85.40,82.71,149.33M,0.76%
08/01/2014,83.11,79.25,83.83,78.66,156.95M,7.49%
07/01/2014,77.32,78.87,81.91,77.29,163.90M,-1.62%
06/01/2014,78.59,80.66,80.67,78.43,157.91M,-2.72%
05/01/2014,80.79,82.39,82.80,79.54,133.93M,-2.13%
04/01/2014,82.55,80.60,82.98,79.38,190.08M,2.42%
03/01/2014,80.60,78.26,80.83,77.35,187.73M,2.47%
02/01/2014,78.66,76.69,79.75,75.40,183.23M,2.66%
01/01/2014,76.62,81.33,81.70,75.26,223.57M,-5.88%
12/01/2013,81.41,84.04,84.94,80.48,162.18M,-3.34%
11/01/2013,84.22,80.68,85.82,80.64,151.30M,4.30%
10/01/2013,80.75,75.52,82.62,75.20,188.00M,6.83%
09/01/2013,75.59,78.27,80.53,75.35,149.08M,-2.95%
08/01/2013,77.89,81.62,82.40,73.61,145.76M,-3.00%
07/01/2013,80.30,77.02,81.64,77.00,173.27M,4.30%
06/01/2013,76.99,76.87,79.47,75.10,197.07M,0.30%
05/01/2013,76.76,76.83,82.35,76.72,217.70M,-0.01%
04/01/2013,76.77,76.85,82.54,76.35,227.57M,-0.38%
03/01/2013,77.06,75.70,77.82,75.56,154.58M,1.16%
02/01/2013,76.18,75.30,77.76,74.95,191.92M,1.36%
01/01/2013,75.16,68.65,75.48,68.35,222.59M,10.71%
12/01/2012,67.89,69.84,70.99,66.83,181.60M,-2.78%
11/01/2012,69.83,69.16,69.89,65.83,165.95M,0.85%
10/01/2012,69.24,69.33,70.83,67.26,196.14M,-0.17%
09/01/2012,69.36,67.22,69.97,67.01,192.22M,3.23%
08/01/2012,67.19,64.87,67.45,63.24,205.20M,4.11%
07/01/2012,64.54,61.04,65.75,60.78,326.93M,5.37%
06/01/2012,61.25,61.76,63.67,59.07,253.16M,-1.67%
05/01/2012,62.29,63.34,64.81,61.98,230.09M,-2.12%
04/01/2012,63.64,67.43,67.92,63.29,258.05M,-5.31%
03/01/2012,67.21,67.44,67.95,66.20,176.51M,-0.61%
02/01/2012,67.62,63.42,67.77,62.56,235.13M,7.27%
01/01/2012,63.04,66.30,67.00,62.70,286.70M,-5.50%
12/01/2011,66.71,64.58,66.98,63.87,181.39M,3.31%
11/01/2011,64.57,63.37,64.59,61.00,176.93M,0.91%
10/01/2011,63.99,63.69,66.30,61.78,205.63M,1.28%
09/01/2011,63.18,63.62,64.70,60.30,234.72M,-0.79%
08/01/2011,63.68,62.16,63.95,57.56,345.56M,3.56%
07/01/2011,61.49,63.47,65.14,61.49,206.31M,-3.27%
06/01/2011,63.57,66.96,66.99,62.36,213.64M,-5.12%
05/01/2011,67.00,65.24,67.72,64.86,208.16M,3.24%
04/01/2011,64.90,61.88,65.10,61.47,192.61M,5.36%
03/01/2011,61.60,63.43,63.65,59.70,243.82M,-2.30%
02/01/2011,63.05,63.43,64.97,62.30,201.14M,-0.13%
01/01/2011,63.13,64.39,66.95,63.01,234.03M,-1.87%
12/01/2010,64.33,61.57,65.38,61.50,196.61M,5.34%
11/01/2010,61.07,63.88,65.00,61.02,202.77M,-3.93%
10/01/2010,63.57,60.09,63.98,59.68,260.82M,6.00%
09/01/2010,59.97,59.90,62.00,59.53,215.09M,0.50%
08/01/2010,59.67,61.95,62.09,59.17,268.37M,-2.44%
07/01/2010,61.16,59.84,63.36,58.92,255.15M,1.97%
06/01/2010,59.98,60.89,62.60,59.57,344.04M,-1.82%
05/01/2010,61.09,62.42,63.95,39.37,320.86M,-1.72%
04/01/2010,62.16,63.47,64.00,60.83,239.54M,-1.75%
03/01/2010,63.27,63.46,64.58,62.51,217.00M,-0.02%
02/01/2010,63.28,61.85,63.96,60.43,241.53M,2.81%
01/01/2010,61.55,61.11,63.31,59.01,254.38M,1.52%
12/01/2009,60.63,62.61,63.39,60.41,204.21M,-2.76%
11/01/2009,62.35,58.39,63.48,58.00,242.48M,7.50%
10/01/2009,58.00,57.63,59.98,56.02,266.62M,0.14%
09/01/2009,57.92,53.85,58.66,52.52,274.08M,7.04%
08/01/2009,54.11,55.96,56.00,51.14,265.64M,-2.52%
07/01/2009,55.51,51.47,57.00,50.52,268.14M,8.63%
06/01/2009,51.10,52.55,54.13,47.00,285.44M,-1.62%
05/01/2009,51.94,49.60,54.77,48.55,263.43M,5.06%
04/01/2009,49.44,46.75,51.97,46.29,293.97M,4.99%
03/01/2009,47.09,47.32,49.03,43.93,353.97M,-2.24%
02/01/2009,48.17,54.00,54.46,47.76,316.71M,-11.61%
01/01/2009,54.50,61.69,62.97,54.24,327.74M,-11.84%
12/01/2008,61.82,63.73,64.00,57.05,340.30M,-3.93%
11/01/2008,64.35,64.72,66.82,53.77,602.73M,-0.29%
10/01/2008,64.54,69.34,71.94,54.92,638.10M,-7.39%
09/01/2008,69.69,70.35,73.57,66.00,371.20M,-0.11%
08/01/2008,69.77,65.73,72.00,64.72,247.58M,6.55%
07/01/2008,65.48,60.55,67.41,60.05,345.82M,7.68%
06/01/2008,60.81,65.92,67.15,60.44,274.94M,-7.93%
05/01/2008,66.05,67.03,67.48,64.75,230.38M,-1.49%
04/01/2008,67.05,70.41,71.20,65.80,289.99M,-4.31%
03/01/2008,70.07,66.15,70.18,65.53,262.41M,5.88%
02/01/2008,66.18,66.15,67.92,64.73,236.31M,1.16%
01/01/2008,65.42,73.59,73.81,62.74,309.22M,-10.90%
12/01/2007,73.42,74.00,75.18,72.52,188.29M,-0.78%
11/01/2007,74.00,69.22,74.60,68.59,248.94M,6.44%
10/01/2007,69.52,70.44,72.19,67.90,242.78M,-1.17%
09/01/2007,70.34,65.04,70.73,64.89,204.38M,7.70%
08/01/2007,65.31,61.52,66.75,61.50,308.82M,5.58%
07/01/2007,61.86,61.35,64.38,60.89,267.48M,1.09%
06/01/2007,61.19,63.55,63.78,60.76,287.48M,-3.71%
05/01/2007,63.55,63.21,64.43,61.04,271.62M,-1.32%
04/01/2007,64.40,63.22,64.75,62.61,190.87M,1.96%
03/01/2007,63.16,62.75,64.12,60.42,203.99M,-0.52%
02/01/2007,63.49,64.90,65.64,61.25,150.62M,-2.13%
01/01/2007,64.87,63.72,66.30,63.11,178.13M,0.93%
12/01/2006,64.27,63.01,64.73,62.21,115.86M,2.36%
11/01/2006,62.79,63.20,64.38,62.29,140.41M,-0.95%
10/01/2006,63.39,61.99,64.02,61.50,163.42M,2.27%
09/01/2006,61.98,61.99,62.85,59.83,160.02M,0.13%
08/01/2006,61.90,56.00,62.03,55.70,169.96M,10.14%
07/01/2006,56.20,56.02,57.34,55.25,138.32M,1.08%
06/01/2006,55.60,54.35,57.19,52.75,203.58M,2.49%
05/01/2006,54.25,58.43,58.67,53.75,254.62M,-6.80%
04/01/2006,58.21,57.69,58.73,55.07,204.69M,1.01%
03/01/2006,57.63,60.11,62.50,57.00,220.20M,-3.84%
02/01/2006,59.93,59.10,62.09,59.06,147.68M,1.18%
01/01/2006,59.23,58.30,59.80,57.29,167.18M,2.33%
12/01/2005,57.88,57.36,59.70,56.70,154.68M,1.21%
11/01/2005,57.19,56.50,58.04,54.96,164.94M,2.14%
10/01/2005,55.99,59.43,59.56,54.62,231.31M,-5.84%
09/01/2005,59.46,55.40,59.46,54.97,197.10M,7.17%
08/01/2005,55.48,55.80,55.99,53.05,196.62M,-0.27%
07/01/2005,55.63,53.00,55.98,51.91,160.44M,5.46%
06/01/2005,52.75,55.01,56.15,52.44,133.06M,-4.35%
05/01/2005,55.15,54.15,56.79,54.01,128.26M,1.85%
04/01/2005,54.15,53.10,55.88,52.37,155.00M,2.17%
03/01/2005,53.00,53.09,54.00,51.86,136.04M,-0.17%
02/01/2005,53.09,53.45,54.20,51.16,202.89M,-0.26%
01/01/2005,53.23,55.65,57.04,52.14,178.96M,-3.36%
12/01/2004,55.08,53.56,57.40,53.55,113.11M,2.99%
11/01/2004,53.48,51.25,54.95,50.79,108.48M,4.49%
10/01/2004,51.18,54.35,54.90,50.53,125.09M,-5.43%
09/01/2004,54.12,55.97,56.95,53.27,109.55M,-3.31%
08/01/2004,55.97,52.76,56.09,52.61,94.73M,7.33%
07/01/2004,52.15,54.56,55.97,51.50,110.31M,-4.21%
06/01/2004,54.44,53.76,56.34,53.76,134.93M,0.98%
05/01/2004,53.91,52.73,54.42,52.37,129.07M,1.95%
04/01/2004,52.88,52.48,53.70,51.64,124.85M,0.84%
03/01/2004,52.44,51.29,53.60,50.55,168.28M,2.30%
02/01/2004,51.26,50.41,52.00,50.41,113.83M,1.42%
01/01/2004,50.54,49.83,50.70,48.89,142.29M,1.20%
12/01/2003,49.94,48.17,49.97,47.81,128.54M,3.78%
11/01/2003,48.12,48.92,49.24,47.50,102.76M,-2.10%
10/01/2003,49.15,46.41,49.30,46.41,141.08M,5.90%
09/01/2003,46.41,43.58,46.72,43.56,146.20M,6.32%
08/01/2003,43.65,44.00,44.83,43.26,122.07M,-0.66%
07/01/2003,43.94,44.52,45.55,43.41,157.60M,-1.46%
06/01/2003,44.59,45.91,46.27,44.55,138.49M,-2.88%
05/01/2003,45.91,45.04,46.01,43.80,136.29M,2.20%
04/01/2003,44.92,44.52,45.73,44.05,142.67M,0.90%
03/01/2003,44.52,41.17,45.00,39.78,172.66M,8.77%
02/01/2003,40.93,42.78,43.12,40.77,127.65M,-4.32%
01/01/2003,42.78,43.05,44.02,41.19,157.29M,-0.44%
12/01/2002,42.97,41.81,44.15,41.00,160.48M,1.66%
11/01/2002,42.27,43.90,44.53,41.80,147.50M,-4.43%
10/01/2002,44.23,44.75,46.17,42.38,217.16M,-1.03%
09/01/2002,44.69,44.33,46.75,43.18,163.30M,0.81%
08/01/2002,44.33,44.37,46.45,43.25,190.20M,-0.36%
07/01/2002,44.49,44.67,45.48,37.04,236.79M,-0.36%
06/01/2002,44.65,44.55,47.38,43.97,182.77M,0.50%
05/01/2002,44.43,45.05,46.51,42.87,137.97M,-0.78%
04/01/2002,44.78,44.33,46.02,43.59,141.18M,0.18%
03/01/2002,44.70,42.17,45.02,40.99,138.43M,6.25%
02/01/2002,42.07,40.53,43.59,40.07,135.40M,3.80%
01/01/2002,40.53,39.15,40.75,37.90,128.24M,3.23%
12/01/2001,39.26,38.43,40.55,37.09,130.79M,2.16%
11/01/2001,38.43,36.62,39.20,36.54,116.83M,4.97%
10/01/2001,36.61,35.97,36.93,34.60,144.38M,1.36%
09/01/2001,36.12,36.56,37.83,33.24,142.30M,-1.82%
08/01/2001,36.79,35.24,38.34,34.41,152.83M,4.40%
07/01/2001,35.24,31.76,35.53,31.63,123.41M,11.31%
06/01/2001,31.66,31.87,32.90,30.60,121.00M,-0.66%
05/01/2001,31.87,31.16,33.89,30.89,144.73M,6.95%
