Date,Price,Open,High,Low,Vol.,Change %
12/01/2017,139.72,139.57,143.80,138.60,114.02M,0.28%
11/01/2017,139.33,139.83,141.87,136.60,93.74M,-0.06%
10/01/2017,139.41,130.16,144.35,130.02,123.84M,7.23%
09/01/2017,130.01,132.60,135.79,129.05,116.22M,-1.78%
08/01/2017,132.37,133.17,134.97,130.90,107.06M,-0.26%
07/01/2017,132.72,132.79,137.08,129.57,107.89M,0.33%
06/01/2017,132.29,128.32,137.00,128.12,145.56M,3.15%
05/01/2017,128.25,123.40,128.80,122.34,112.55M,3.87%
04/01/2017,123.47,124.73,125.81,120.95,106.21M,-0.87%
03/01/2017,124.55,122.49,129.00,122.39,166.55M,1.91%
02/01/2017,122.21,112.48,122.88,112.47,133.82M,7.91%
01/01/2017,113.25,115.78,117.00,110.76,143.31M,-1.70%
12/01/2016,115.21,111.36,117.30,109.32,138.05M,3.51%
11/01/2016,111.30,114.76,122.50,111.30,171.89M,-4.04%
10/01/2016,115.99,118.00,120.20,112.99,140.06M,-1.81%
09/01/2016,118.13,119.19,119.97,117.04,130.38M,-1.01%
08/01/2016,119.34,125.31,125.90,118.33,138.57M,-4.70%
07/01/2016,125.23,121.54,126.07,120.79,132.07M,3.24%
06/01/2016,121.30,112.57,121.41,112.07,167.59M,7.64%
05/01/2016,112.69,112.22,115.00,111.70,141.10M,0.54%
04/01/2016,112.08,108.00,114.19,107.69,158.19M,3.59%
03/01/2016,108.20,105.90,109.56,105.44,172.97M,2.84%
02/01/2016,105.21,103.61,106.92,99.78,201.55M,0.74%
01/01/2016,104.44,101.71,104.75,94.28,211.28M,1.67%
12/01/2015,102.72,101.73,105.49,100.31,162.04M,1.46%
11/01/2015,101.24,101.18,103.00,99.74,126.17M,0.21%
10/01/2015,101.03,93.43,102.12,91.76,191.79M,8.23%
09/01/2015,93.35,92.29,96.19,89.90,202.04M,-0.67%
08/01/2015,93.98,100.00,101.00,81.79,194.80M,-6.22%
07/01/2015,100.21,98.30,101.36,96.64,151.84M,2.82%
06/01/2015,97.46,100.28,100.84,97.01,170.02M,-2.68%
05/01/2015,100.14,99.62,104.48,98.66,143.78M,0.95%
04/01/2015,99.20,100.46,102.14,98.04,171.58M,-1.39%
03/01/2015,100.60,102.86,103.41,98.22,177.46M,-1.86%
02/01/2015,102.51,100.49,103.33,97.15,191.37M,2.37%
01/01/2015,100.14,105.05,106.50,100.09,195.05M,-4.24%
12/01/2014,104.57,107.89,108.99,102.50,175.59M,-3.40%
11/01/2014,108.25,107.83,109.49,106.60,125.68M,0.44%
10/01/2014,107.78,105.98,108.18,95.10,232.67M,1.12%
09/01/2014,106.59,103.30,108.77,103.02,130.60M,2.76%
08/01/2014,103.73,99.76,104.42,98.80,120.18M,3.64%
07/01/2014,100.09,105.15,106.74,100.05,148.84M,-4.33%
06/01/2014,104.62,101.54,106.00,101.01,124.03M,3.11%
05/01/2014,101.46,100.77,101.54,98.88,124.66M,0.17%
04/01/2014,101.29,98.31,101.98,96.05,180.28M,3.12%
03/01/2014,98.23,91.13,98.60,90.83,181.36M,6.63%
02/01/2014,92.12,88.75,92.99,86.09,162.43M,4.13%
01/01/2014,88.47,91.14,95.38,88.15,193.14M,-3.41%
12/01/2013,91.59,94.41,94.79,89.77,151.10M,-3.24%
11/01/2013,94.66,92.38,95.99,92.28,131.07M,2.21%
10/01/2013,92.61,86.59,93.45,85.50,173.08M,6.83%
09/01/2013,86.69,86.89,90.72,86.00,158.95M,0.32%
08/01/2013,86.41,94.16,94.40,85.85,204.28M,-7.58%
07/01/2013,93.50,85.72,94.42,85.50,200.35M,8.90%
06/01/2013,85.86,84.28,87.82,82.12,210.57M,2.00%
05/01/2013,84.18,84.50,89.99,83.88,220.74M,-1.23%
04/01/2013,85.23,81.39,85.89,80.31,218.75M,4.54%
03/01/2013,81.53,75.79,81.59,75.73,193.44M,7.12%
02/01/2013,76.11,74.14,77.02,73.56,177.99M,2.96%
01/01/2013,73.92,71.02,74.80,70.30,209.85M,5.45%
12/01/2012,70.10,69.80,71.62,69.18,232.63M,0.53%
11/01/2012,69.73,71.10,71.90,68.51,211.67M,-1.54%
10/01/2012,70.82,68.92,72.74,67.80,267.16M,2.77%
09/01/2012,68.91,67.49,69.64,66.97,200.24M,2.19%
08/01/2012,67.43,69.48,69.75,66.85,224.10M,-2.59%
07/01/2012,69.22,67.42,69.70,67.00,273.36M,2.46%
06/01/2012,67.56,62.04,67.70,61.71,451.16M,8.22%
05/01/2012,62.43,64.91,65.48,62.00,278.03M,-4.10%
04/01/2012,65.10,66.04,66.30,62.76,228.80M,-1.30%
03/01/2012,65.96,65.11,66.18,64.12,208.17M,1.35%
02/01/2012,65.08,65.97,66.32,64.02,192.38M,-1.26%
01/01/2012,65.91,65.59,66.00,64.34,212.15M,0.50%
12/01/2011,65.58,64.68,66.31,62.85,210.29M,1.33%
11/01/2011,64.72,63.68,65.49,61.05,236.93M,0.51%
10/01/2011,64.39,63.65,65.86,60.83,251.14M,1.10%
09/01/2011,63.69,65.66,66.14,61.00,264.88M,-3.21%
08/01/2011,65.80,65.28,66.23,59.08,491.50M,1.56%
07/01/2011,64.79,66.48,68.05,64.13,202.63M,-2.60%
06/01/2011,66.52,67.02,67.36,64.69,231.82M,-1.14%
05/01/2011,67.29,65.92,67.37,64.80,270.99M,2.39%
04/01/2011,65.72,59.63,65.97,59.06,271.02M,10.92%
03/01/2011,59.25,61.25,61.50,57.50,254.69M,-3.56%
02/01/2011,61.44,59.70,61.45,59.36,199.97M,2.79%
01/01/2011,59.77,62.63,63.54,59.69,257.28M,-3.36%
12/01/2010,61.85,62.18,63.16,61.56,212.20M,0.49%
11/01/2010,61.55,63.88,64.92,61.25,221.47M,-3.44%
10/01/2010,63.74,62.09,64.23,61.30,208.80M,2.87%
09/01/2010,61.96,57.67,62.70,57.44,209.44M,8.66%
08/01/2010,57.02,58.50,60.25,56.99,239.42M,-1.84%
07/01/2010,58.09,59.07,61.73,56.86,310.73M,-1.64%
06/01/2010,59.06,58.21,60.15,57.55,357.37M,1.30%
05/01/2010,58.30,65.16,65.62,58.19,357.85M,-9.33%
04/01/2010,64.30,65.37,66.20,64.21,235.87M,-1.38%
03/01/2010,65.20,63.27,65.49,63.02,249.99M,3.49%
02/01/2010,63.00,63.26,64.70,61.89,213.34M,0.22%
01/01/2010,62.86,64.71,65.95,62.22,245.14M,-2.41%
12/01/2009,64.41,62.95,65.41,62.95,212.30M,2.50%
11/01/2009,62.84,59.15,63.44,58.80,233.42M,6.42%
10/01/2009,59.05,60.93,62.74,58.78,280.31M,-3.02%
09/01/2009,60.89,60.35,61.54,59.28,197.47M,0.74%
08/01/2009,60.44,61.16,61.49,59.50,211.88M,-0.74%
07/01/2009,60.89,56.82,62.47,55.71,270.36M,7.20%
06/01/2009,56.80,55.75,57.23,54.54,301.75M,2.97%
05/01/2009,55.16,52.53,56.48,51.67,257.29M,5.35%
04/01/2009,52.36,52.30,54.13,50.12,306.43M,-0.46%
03/01/2009,52.60,49.03,53.70,46.25,423.38M,5.20%
